timestamp_sec,vehicle_id,x,y,speed_kmph
10.0,580,592,204,217.68
10.1,585,709,443,0.0
10.1,581,395,303,143.51
10.1,550,123,171,416.97
10.1,578,646,403,463.94
10.1,546,32,195,352.04
10.1,550,150,156,416.97
10.1,577,92,154,248.93
10.1,546,10,209,352.04
10.1,584,403,226,429.67
10.1,506,210,155,433.89
10.1,586,362,240,0.0
10.1,587,576,171,0.0
10.1,506,199,155,433.89
10.1,588,259,380,0.0
10.1,506,224,154,433.89
10.1,579,499,155,311.67
10.1,589,655,283,0.0
10.1,506,256,151,433.89
10.1,590,276,490,0.0
10.1,580,593,177,143.51
10.1,591,583,238,353.33
10.1,580,600,185,143.51
10.1,591,609,235,353.33
10.2,592,365,369,0.0
10.2,585,689,467,421.75
10.2,546,30,205,275.35
10.2,577,76,178,429.04
10.2,577,107,171,429.04
10.2,593,391,262,0.0
10.2,550,158,159,115.34
10.2,580,607,193,145.4
10.2,594,345,288,0.0
10.2,587,579,179,115.34
10.2,580,624,206,145.4
10.2,506,254,151,27.0
10.2,595,428,182,0.0
10.2,586,355,218,311.67
10.2,580,646,226,145.4
10.2,596,343,419,0.0
10.2,597,235,408,0.0
10.2,598,36,141,0.0
10.2,580,656,222,145.4
10.3,596,329,439,329.58
10.3,546,40,197,172.88
10.3,577,94,176,188.03
10.3,599,316,351,0.0
10.3,600,689,398,0.0
10.3,550,142,161,339.92
10.3,601,11,222,0.0
10.3,602,630,314,0.0
10.3,594,377,301,466.29
10.3,580,638,241,152.74
10.3,603,334,253,0.0
10.3,598,14,158,375.34
10.3,580,620,215,152.74
10.3,550,167,158,339.92
10.3,587,593,192,257.92
10.3,595,420,199,253.64
10.3,604,677,267,0.0
10.3,605,211,155,0.0
10.3,506,236,147,248.93
10.3,580,612,207,152.74
10.4,606,281,430,0.0
10.4,607,653,371,0.0
10.4,546,46,194,465.51
10.4,546,16,211,465.51
10.4,577,122,171,431.37
10.4,608,701,332,0.0
10.4,609,80,184,0.0
10.4,604,647,283,459.0
10.4,599,342,353,352.04
10.4,580,610,211,60.37
10.4,550,191,155,408.58
10.4,610,636,238,0.0
10.4,577,152,160,431.37
10.4,595,402,222,394.28
10.4,598,23,156,124.46
10.4,611,412,182,460.78
10.4,550,214,155,408.58
10.4,550,244,151,408.58
10.4,611,441,164,460.78
10.4,587,593,177,202.5
10.4,612,63,147,0.0
10.5,613,704,443,0.0
10.5,609,73,179,116.13
10.5,546,31,196,381.84
10.5,614,666,338,0.0
10.5,580,628,239,449.37
10.5,615,730,402,0.0
10.5,606,311,417,441.39
10.5,577,125,171,413.02
10.5,546,11,216,381.84
10.5,616,232,483,0.0
10.5,617,183,157,85.38
10.5,604,659,280,166.99
10.5,577,155,165,413.02
10.5,595,396,208,449.37
10.5,617,207,155,85.38
10.5,587,607,191,267.29
10.5,618,378,245,216.42
10.5,598,16,156,94.5
10.5,595,424,190,449.37
10.5,550,236,154,115.34
10.5,599,349,376,324.56
10.5,617,201,157,85.38
10.5,618,377,261,216.42
10.6,613,709,423,278.31
10.6,614,686,334,275.35
10.6,577,137,162,344.98
